# label_idx,topology,pods_hosting
1,baseline,21
1,central,1
1,pernode,1
2,baseline,16
2,central,1
2,pernode,1
3,baseline,17
3,central,1
3,pernode,1
4,baseline,25
4,central,1
4,pernode,1
5,baseline,14
5,central,1
5,pernode,1
6,baseline,24
6,central,1
6,pernode,1
7,baseline,19
7,central,1
7,pernode,1
8,baseline,23
8,central,2
8,pernode,1
9,baseline,21
9,central,1
9,pernode,1
10,baseline,22
10,central,1
10,pernode,1
11,baseline,20
11,central,1
11,pernode,1
12,baseline,21
12,central,1
12,pernode,1
13,baseline,13
13,central,1
13,pernode,1
14,baseline,12
14,central,1
14,pernode,1
15,baseline,12
15,central,1
15,pernode,1
