# label_idx,topology,pods_hosting
1,baseline,30
1,central,1
1,pernode,1
2,baseline,30
2,central,1
2,pernode,2
3,baseline,30
3,central,1
3,pernode,1
4,baseline,30
4,central,1
4,pernode,1
5,baseline,30
5,central,1
5,pernode,2
6,baseline,30
6,central,1
6,pernode,1
7,baseline,30
7,central,1
7,pernode,1
8,baseline,30
8,central,1
8,pernode,1
9,baseline,30
9,central,1
9,pernode,1
10,baseline,30
10,central,1
10,pernode,1
11,baseline,30
11,central,1
11,pernode,1
12,baseline,30
12,central,1
12,pernode,2
13,baseline,30
13,central,1
13,pernode,1
14,baseline,30
14,central,1
14,pernode,1
15,baseline,30
15,central,1
15,pernode,1
