1	baseline	worker-cs-0	Label-B	2000
1	baseline	worker-cs-0	Label-B	2000
1	baseline	worker-cs-0	Label-A	45000
1	baseline	worker-cs-0	Label-D	1999
1	baseline	worker-cs-0	Label-A	1999
1	baseline	worker-cs-0	Label-A	2000
1	baseline	worker-cs-0	Label-A	2000
1	baseline	worker-cs-0	Label-D	1999
1	baseline	worker-cs-0	Label-C	44999
1	baseline	worker-cs-0	Label-A	2000
1	baseline	worker-cs-0	Label-D	179999
1	baseline	worker-cs-0	Label-B	1999
1	baseline	worker-cs-0	Label-A	45000
1	baseline	worker-cs-0	Label-A	2000
1	baseline	worker-cs-0	Label-C	1999
1	baseline	worker-cs-0	Label-A	2000
1	baseline	worker-cs-0	Label-C	2000
1	baseline	worker-cs-0	Label-B	2000
1	baseline	worker-cs-0	Label-C	45000
1	baseline	worker-cs-0	Label-C	1999
1	baseline	worker-cs-0	Label-B	2000
1	baseline	worker-cs-0	Label-A	45000
1	baseline	worker-cs-0	Label-B	1999
1	baseline	worker-cs-0	Label-E	180000
1	baseline	worker-cs-0	Label-C	2000
1	baseline	worker-cs-0	Label-C	44999
1	baseline	worker-cs-0	Label-C	1999
1	baseline	worker-cs-0	Label-C	2000
1	baseline	worker-cs-0	Label-A	2000
1	baseline	worker-cs-0	Label-A	2000
1	baseline	worker-cs-0	Label-C	2000
1	baseline	worker-cs-0	Label-A	1999
1	baseline	worker-cs-0	Label-C	1999
1	baseline	worker-cs-0	Label-B	2001
1	baseline	worker-cs-0	Label-D	2000
1	baseline	worker-cs-0	Label-B	2000
1	baseline	worker-cs-0	Label-D	180000
1	baseline	worker-cs-0	Label-C	2000
1	baseline	worker-cs-0	Label-A	2000
1	baseline	worker-cs-0	Label-A	2000
1	baseline	worker-cs-0	Label-B	2000
1	baseline	worker-cs-0	Label-B	1999
1	baseline	worker-cs-0	Label-A	2000
1	baseline	worker-cs-0	Label-B	2000
1	baseline	worker-cs-0	Label-B	2000
1	baseline	worker-cs-0	Label-A	2001
1	baseline	worker-cs-0	Label-A	2000
1	baseline	worker-cs-0	Label-B	2000
1	baseline	worker-cs-0	Label-A	2000
1	baseline	worker-cs-0	Label-C	2000
1	baseline	worker-cs-0	Label-B	2000
1	baseline	worker-cs-0	Label-A	1999
1	baseline	worker-cs-0	Label-B	1999
1	baseline	worker-cs-0	Label-C	1999
1	baseline	worker-cs-0	Label-B	2000
1	baseline	worker-cs-0	Label-A	1999
1	baseline	worker-cs-0	Label-B	1999
1	baseline	worker-cs-0	Label-B	2000
1	baseline	worker-cs-0	Label-A	2000
1	baseline	worker-cs-0	Label-A	1999
1	baseline	worker-cs-0	Label-B	2000
1	baseline	worker-cs-0	Label-A	2000
1	baseline	worker-cs-0	Label-A	2000
1	baseline	worker-cs-0	Label-B	2000
1	baseline	worker-cs-0	Label-B	1999
1	baseline	worker-cs-0	Label-C	2000
1	baseline	worker-cs-0	Label-C	2000
1	baseline	worker-cs-0	Label-A	2001
1	baseline	worker-cs-0	Label-B	2000
1	baseline	worker-cs-0	Label-A	1999
1	baseline	worker-cs-0	Label-B	1999
1	baseline	worker-cs-0	Label-C	1998
1	baseline	worker-cs-0	Label-D	2000
1	baseline	worker-cs-0	Label-B	2000
1	baseline	worker-cs-0	Label-A	2000
1	baseline	worker-cs-0	Label-C	1999
1	baseline	worker-cs-0	Label-A	1999
1	baseline	worker-cs-0	Label-A	1999
1	baseline	worker-cs-0	Label-C	2000
1	baseline	worker-cs-0	Label-A	2000
1	baseline	worker-cs-0	Label-B	1999
1	baseline	worker-cs-0	Label-A	1999
1	baseline	worker-cs-0	Label-C	2000
1	baseline	worker-cs-0	Label-B	2000
1	baseline	worker-cs-0	Label-C	2000
1	baseline	worker-cs-0	Label-A	2000
1	baseline	worker-cs-0	Label-A	1999
1	baseline	worker-cs-0	Label-C	1999
1	baseline	worker-cs-0	Label-A	1999
1	baseline	worker-cs-0	Label-C	2000
1	baseline	worker-cs-0	Label-B	2000
1	baseline	worker-cs-0	Label-B	1999
1	baseline	worker-cs-0	Label-A	2000
1	baseline	worker-cs-0	Label-C	1999
1	baseline	worker-cs-0	Label-C	2001
1	baseline	worker-cs-0	Label-A	2000
1	baseline	worker-cs-0	Label-A	2000
1	baseline	worker-cs-0	Label-B	2000
1	baseline	worker-cs-0	Label-C	2000
1	baseline	worker-cs-0	Label-B	1999
1	baseline	worker-cs-10	Label-B	2000
1	baseline	worker-cs-10	Label-B	1999
1	baseline	worker-cs-10	Label-A	2000
1	baseline	worker-cs-10	Label-B	45000
1	baseline	worker-cs-10	Label-B	2000
1	baseline	worker-cs-10	Label-A	2000
1	baseline	worker-cs-10	Label-A	2000
1	baseline	worker-cs-10	Label-A	2000
1	baseline	worker-cs-10	Label-C	45000
1	baseline	worker-cs-10	Label-A	2000
1	baseline	worker-cs-10	Label-E	180000
