# label_idx,topology,pods_hosting
1,baseline,10
1,central,1
1,pernode,1
2,baseline,9
2,central,2
2,pernode,2
3,baseline,9
3,central,1
3,pernode,2
4,baseline,10
4,central,1
4,pernode,1
5,baseline,9
5,central,1
5,pernode,1
6,baseline,10
6,central,2
6,pernode,3
7,baseline,10
7,central,1
7,pernode,1
8,baseline,10
8,central,1
8,pernode,2
9,baseline,10
9,central,1
9,pernode,1
10,baseline,10
10,central,1
10,pernode,1
11,baseline,10
11,central,1
11,pernode,1
12,baseline,10
12,central,2
12,pernode,1
13,baseline,8
13,central,1
13,pernode,1
14,baseline,9
14,central,1
14,pernode,1
15,baseline,8
15,central,2
15,pernode,1
