# label_idx,topology,pods_hosting
1,baseline,10
1,central,2
1,pernode,2
2,baseline,10
2,central,1
2,pernode,1
3,baseline,10
3,central,2
3,pernode,1
4,baseline,10
4,central,1
4,pernode,1
5,baseline,10
5,central,2
5,pernode,1
6,baseline,10
6,central,2
6,pernode,1
7,baseline,10
7,central,1
7,pernode,1
8,baseline,10
8,central,2
8,pernode,1
9,baseline,10
9,central,2
9,pernode,1
10,baseline,10
10,central,1
10,pernode,1
11,baseline,10
11,central,1
11,pernode,1
12,baseline,10
12,central,2
12,pernode,1
13,baseline,10
13,central,2
13,pernode,1
14,baseline,10
14,central,1
14,pernode,1
15,baseline,10
15,central,1
15,pernode,2
